year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2022-08,2022,8,Aug,LRT,KJ,LRT Kelana Jaya,5491587,177148,31
2022-08,2022,8,Aug,MRT,KGL,MRT Kajang,4513422,145594,31
2022-08,2022,8,Aug,MRT,PYL,MRT Putrajaya,579156,18682,31
2022-08,2022,8,Aug,Monorail,MR,KL Monorail,1027788,33154,31
2022-09,2022,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,4286962,142899,30
2022-09,2022,9,Sep,LRT,KJ,LRT Kelana Jaya,5456094,181870,30
2022-09,2022,9,Sep,MRT,KGL,MRT Kajang,4508174,150272,30
2022-09,2022,9,Sep,MRT,PYL,MRT Putrajaya,605209,20174,30
2022-09,2022,9,Sep,Monorail,MR,KL Monorail,1038355,34612,30
2022-10,2022,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,4259135,137391,31
2022-10,2022,10,Oct,LRT,KJ,LRT Kelana Jaya,5470987,176483,31
2022-10,2022,10,Oct,MRT,KGL,MRT Kajang,4542720,146539,31
2022-10,2022,10,Oct,MRT,PYL,MRT Putrajaya,629934,20320,31
2022-10,2022,10,Oct,Monorail,MR,KL Monorail,1104800,35639,31
2022-11,2022,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,3963991,132133,30
2022-11,2022,11,Nov,LRT,KJ,LRT Kelana Jaya,4391529,146384,30
2022-11,2022,11,Nov,MRT,KGL,MRT Kajang,4336909,144564,30
2022-11,2022,11,Nov,MRT,PYL,MRT Putrajaya,610845,20362,30
2022-11,2022,11,Nov,Monorail,MR,KL Monorail,1079915,35997,30
2022-12,2022,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,4475686,144377,31
2022-12,2022,12,Dec,LRT,KJ,LRT Kelana Jaya,5821398,187787,31
2022-12,2022,12,Dec,MRT,KGL,MRT Kajang,4874144,157230,31
2022-12,2022,12,Dec,MRT,PYL,MRT Putrajaya,664025,21420,31
2022-12,2022,12,Dec,Monorail,MR,KL Monorail,1320643,42601,31
2023-01,2023,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,4319239,139330,31
2023-01,2023,1,Jan,LRT,KJ,LRT Kelana Jaya,5465184,176296,31
2023-01,2023,1,Jan,MRT,KGL,MRT Kajang,4557793,147026,31
2023-01,2023,1,Jan,MRT,PYL,MRT Putrajaya,640429,20659,31
2023-01,2023,1,Jan,Monorail,MR,KL Monorail,1207697,38958,31
2023-02,2023,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,3616881,129174,28
2023-02,2023,2,Feb,LRT,KJ,LRT Kelana Jaya,5350230,191080,28
2023-02,2023,2,Feb,MRT,KGL,MRT Kajang,4392381,156871,28
2023-02,2023,2,Feb,MRT,PYL,MRT Putrajaya,541466,19338,28
2023-02,2023,2,Feb,Monorail,MR,KL Monorail,1311483,46839,28
2023-03,2023,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,4308679,138990,31
2023-03,2023,3,Mar,LRT,KJ,LRT Kelana Jaya,6489551,209340,31
2023-03,2023,3,Mar,MRT,KGL,MRT Kajang,5525715,178249,31
2023-03,2023,3,Mar,MRT,PYL,MRT Putrajaya,2036718,65701,31
2023-03,2023,3,Mar,Monorail,MR,KL Monorail,1580507,50984,31
2023-04,2023,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,3338686,111290,30
2023-04,2023,4,Apr,LRT,KJ,LRT Kelana Jaya,5399898,179997,30
2023-04,2023,4,Apr,MRT,KGL,MRT Kajang,4908411,163614,30
2023-04,2023,4,Apr,MRT,PYL,MRT Putrajaya,2137546,71252,30
2023-04,2023,4,Apr,Monorail,MR,KL Monorail,1377627,45921,30
2023-05,2023,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,4094851,132092,31
2023-05,2023,5,May,LRT,KJ,LRT Kelana Jaya,6067411,195723,31
2023-05,2023,5,May,MRT,KGL,MRT Kajang,5444245,175621,31
2023-05,2023,5,May,MRT,PYL,MRT Putrajaya,2543049,82034,31
2023-05,2023,5,May,Monorail,MR,KL Monorail,1439986,46451,31
2023-06,2023,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,4143689,138123,30
2023-06,2023,6,Jun,LRT,KJ,LRT Kelana Jaya,5940788,198026,30
2023-06,2023,6,Jun,MRT,KGL,MRT Kajang,5405343,180178,30
2023-06,2023,6,Jun,MRT,PYL,MRT Putrajaya,2542969,84766,30
2023-06,2023,6,Jun,Monorail,MR,KL Monorail,1453674,48456,30
2023-07,2023,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,4237733,136701,31
2023-07,2023,7,Jul,LRT,KJ,LRT Kelana Jaya,6229737,200959,31
2023-07,2023,7,Jul,MRT,KGL,MRT Kajang,5626647,181505,31
2023-07,2023,7,Jul,MRT,PYL,MRT Putrajaya,2781645,89730,31
2023-07,2023,7,Jul,Monorail,MR,KL Monorail,1507056,48615,31
