stop_id,station_name,stop_name,stop_lat,stop_lon,category,route_id,route_short_name,route_long_name,route_color_hex,isOKU,is_interchange_name,status
PY04,Sungai Buloh,SUNGAI BULOH,3.206429,101.581779,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY05,Damansara Damai,DAMANSARA DAMAI,3.199892,101.592623,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY06,Sri Damansara Barat,SRI DAMANSARA BARAT,3.198197,101.608302,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY07,Sri Damansara Sentral,SRI DAMANSARA SENTRAL,3.198815,101.621396,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY08,Sri Damansara Timur,SRI DAMANSARA TIMUR,3.207832,101.628716,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY09,Metro Prima,METRO PRIMA,3.214438,101.639402,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY10,Kepong Baru,KEPONG BARU,3.211663,101.648193,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY11,Jinjang,JINJANG,3.209544,101.655829,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY12,Sri Delima,SRI DELIMA,3.207108,101.665749,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY13,Kampung Batu,KAMPUNG BATU,3.205521,101.675473,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY14,Kentomen,KENTOMEN,3.19563,101.6797,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY15,Jalan Ipoh,JALAN IPOH,3.189319,101.681145,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY16,Sentul Barat,SENTUL BARAT,3.179369,101.684742,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY17,Titiwangsa,TITIWANGSA,3.17408,101.69581,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,True,valid
PY18,Hospital Kuala Lumpur,HOSPITAL KUALA LUMPUR,3.17405,101.70239,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY19,Raja Uda,RAJA UDA,3.16794,101.71017,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY20,Ampang Park,AMPANG PARK,3.16225,101.71781,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,True,valid
PY21,Persiaran KLcc,PERSIARAN KLCC,3.15712,101.71834,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY22,Conlay,CONLAY,3.15145,101.71801,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY23,Tun Razak Exchange,TUN RAZAK EXCHANGE,3.14289,101.72034,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,True,valid
PY24,Chan Sow Lin,CHAN SOW LIN,3.12839,101.71663,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,True,valid
PY27,Kuchai,KUCHAI,3.089546,101.694124,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY28,Taman Naga Emas,TAMAN NAGA EMAS,3.077688,101.699867,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY29,Sungai Besi,SUNGAI BESI,3.063737,101.7084,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,True,valid
PY31,Serdang Raya Utara,SERDANG RAYA UTARA,3.041674,101.704928,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY32,Serdang Raya Selatan,SERDANG RAYA SELATAN,3.028463,101.707514,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY33,Serdang Jaya,SERDANG JAYA,3.0216,101.709,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY34,Upm,UPM,3.008489,101.705396,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY36,Taman Equine,TAMAN EQUINE,2.98942,101.67244,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY37,Putra Permai,PUTRA PERMAI,2.98339,101.66099,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY38,16 Sierra,16 SIERRA,2.964974,101.654812,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY39,Cyberjaya Utara,CYBERJAYA UTARA,2.95,101.6573,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY40,Cyberjaya City Centre,CYBERJAYA CITY CENTRE,2.9384,101.6659,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
PY41,Putrajaya Sentral,PUTRAJAYA SENTRAL,2.9313,101.6715,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
MR1,KL Sentral,KL SENTRAL,3.132852,101.687817,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR2,Tun Sambanthan,TUN SAMBANTHAN,3.13132,101.69085,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR3,Maharajalela,MAHARAJALELA,3.138743,101.699268,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR4,Hang Tuah,HANG TUAH,3.140511,101.706029,MRL,MR,MRL,KL Monorail Line,#84bd00,True,True,valid
MR5,Imbi,IMBI,3.14283,101.70945,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR6,Bukit Bintang ,BUKIT BINTANG ,3.146022,101.7115,MRL,MR,MRL,KL Monorail Line,#84bd00,True,True,valid
MR7,Raja Chulan,RAJA CHULAN,3.150878,101.710432,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR8,Bukit Nanas,BUKIT NANAS,3.156214,101.704809,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
